azure_gpt-4o-mini,groq_llama-3.3-70b-versatile,groq_mistral-saba-24b,groq_llama-3.1-8b-instant,groq_gemma2-9b-it
0.6,1.0,0.6,0.8,0.6
0.6,0.4,0.6,0.8,0.4
0.8,1.0,1.0,0.6,1.0
0.8,1.0,0.6,0.4,0.8
0.8,0.8,0.8,0.8,0.6
0.6,0.8,0.4,0.4,0.4
0.8,0.6,0.6,0.4,0.6
0.6,0.8,0.8,0.4,0.6
0.8,0.4,0.6,0.2,0.2
1.0,1.0,1.0,0.8,1.0
1.0,0.8,0.8,1.0,0.8
0.6,0.8,0.6,0.6,0.4
0.8,0.6,0.4,0.4,0.6
0.4,0.8,0.6,0.6,0.4
0.6,0.6,1.0,0.8,1.0
0.6,0.4,0.4,0.4,0.6
0.6,0.8,0.2,0.6,0.4
0.8,1.0,0.8,0.8,0.8
1.0,0.8,1.0,0.8,1.0
0.6,0.6,0.2,0.6,0.6
